bulletin_id,file_path,source,network,date,title,relevant,priority,difficulty,failure_mode,notes
visa-2026-q1-001,tenants/hyperswitch/bulletins/2026-q1-visa-cit-aft-mandate.md,Visa Business News (representative),visa,2026-01-15,Visa CIT/MIT Indicator Update — Mandatory Transaction Type Reporting for Account Funding Transactions,relevant,P1,clear,,synthesized=true
visa-2026-q1-003,tenants/hyperswitch/bulletins/2026-q1-visa-cross-border-commerce-program.md,Visa Business News (representative),visa,2026-02-10,Visa Cross-Border Commerce Acceptance Program — Now Available for Small Business Issuers,not_relevant,,clear,,synthesized=true
visa-2026-q1-004,tenants/hyperswitch/bulletins/2026-q1-visa-vdrp-dispute-process-update.md,Visa Business News (representative),visa,2026-03-05,Visa Dispute Resolution Process — Pre-Arbitration Evidence Format Update,relevant,P1,clear,,synthesized=true
visa-2026-q1-002,tenants/hyperswitch/bulletins/2026-q1-visa-vts-network-token-recurring.md,Visa Business News (representative),visa,2026-02-10,Visa Token Service — Mandatory Network Tokenization for Stored Recurring Credentials,relevant,P0,clear,,synthesized=true
visa-2026-q2-002,tenants/hyperswitch/bulletins/2026-q2-visa-3ds-2-3-update.md,Visa Business News (representative),visa,2026-04-02,Visa Secure — Mandatory Support for EMV 3DS 2.3 Authentication Indicators,relevant,P0,clear,,synthesized=true
visa-2026-q2-012,tenants/hyperswitch/bulletins/2026-q2-visa-account-updater-v3.md,Visa Business News (representative),visa,2026-05-20,Visa Account Updater v3.0 — Required Migration for Card-on-File Refresh Subscribers,relevant,P1,adversarial,wording_trap,synthesized=true
visa-2026-q2-014,tenants/hyperswitch/bulletins/2026-q2-visa-ce-3-0-digital-goods.md,Visa Business News (representative),visa,2026-06-02,Visa Compelling Evidence 3.0 — Expansion to In-App Digital Goods and Subscription-Tier Disputes,relevant,P2,adversarial,optional_but_operationally_required,synthesized=true
visa-2026-q2-011,tenants/hyperswitch/bulletins/2026-q2-visa-direct-b2c-expansion.md,Visa Business News (representative),visa,2026-04-15,Visa Direct — Expanded B2C Push-Payments Program for Issuing Bank Disbursements,not_relevant,,adversarial,surface_overlap,synthesized=true
visa-2026-q2-009,tenants/hyperswitch/bulletins/2026-q2-visa-india-irf-adjustment.md,Visa Business News (representative),visa,2026-04-30,India Domestic Interchange Reimbursement Fee — Rate Adjustment for Card-Not-Present Consumer Credit Transactions,relevant,P2,clear,,synthesized=true
visa-2026-q2-006,tenants/hyperswitch/bulletins/2026-q2-visa-marketplace-operator-settlement.md,Visa Business News (representative),visa,2026-04-22,Marketplace Operator Settlement Reporting — New Quarterly Filing for Visa-Designated Marketplaces,not_relevant,,clear,,synthesized=true
visa-2026-q2-007,tenants/hyperswitch/bulletins/2026-q2-visa-stablecoin-settlement-pilot.md,Visa Business News (representative),visa,2026-05-08,Visa Stablecoin Settlement Pilot — Expanded Availability for Issuing and Acquiring Bank Treasuries,not_relevant,,clear,,synthesized=true
visa-2026-q3-013,tenants/hyperswitch/bulletins/2026-q3-visa-base-ii-endpoint-migration.md,Visa Business News (representative),visa,2026-07-25,BASE II Clearing Endpoint — Mandatory Migration to New TLS Address Window,not_relevant,,adversarial,surface_overlap,synthesized=true
visa-2026-q3-008,tenants/hyperswitch/bulletins/2026-q3-visa-click-to-pay-v2-ga.md,Visa Business News (representative),visa,2026-07-12,Click to Pay v2.0 — General Availability Across All Visa Markets,not_relevant,,clear,,synthesized=true
visa-2026-q3-016,tenants/hyperswitch/bulletins/2026-q3-visa-decline-reason-code-v2.md,Visa Business News (representative),visa,2026-08-29,Visa Decline Reason Code Granularity v2 — Optional Expanded Sub-Code Consumption for Authorization Decline Responses,not_relevant,,adversarial,surface_mention_but_no_required_change,synthesized=true
visa-2026-q3-010,tenants/hyperswitch/bulletins/2026-q3-visa-issuer-card-production-refresh.md,Visa Business News (representative),visa,2026-08-18,Issuer Card Production Standards — Personalization File Format Refresh and Certified Vendor List Update,not_relevant,,clear,,synthesized=true
visa-2026-q3-015,tenants/hyperswitch/bulletins/2026-q3-visa-uk-sca-divergence.md,Visa Business News (representative),visa,2026-09-03,UK Strong Customer Authentication — Implementation of Post-Brexit FCA Exemption Divergence,relevant,P1,adversarial,jurisdiction_edge_and_issuer_language,synthesized=true
